"","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd"
"GO:0043232","intracellular non-membrane-bounded organelle",1.0891836273802e-40,2.45473119684024e-38,13.3045375616387,3349,0.00239462098574708,0.0077674001150771
"GO:0031988","membrane-bounded vesicle",1.4997527401726e-39,3.33980651877007e-37,13.1070736075108,3248,0.00240062627444486,0.00827995467462826
"GO:0031982","vesicle",1.06218474288291e-38,2.33755621180797e-36,12.9577316563645,3336,0.00235917626564991,0.00827637059117288
"GO:0022904","respiratory electron transport chain",1.35576902478572e-38,2.94895527646997e-36,12.938994871002,105,0.0100255784071808,0.0092390318510474
"GO:0033036","macromolecule localization",1.69389866125215e-38,3.64207682268767e-36,12.921875927771,2119,0.00280471270450362,0.00855820409776051
"GO:0022900","electron transport chain",4.38229910034699e-38,9.31537351944214e-36,12.8485425431205,107,0.00987616388860327,0.00922009497067241
"GO:0051649","establishment of localization in cell",1.62416690567336e-37,3.413670352531e-35,12.7467935192817,2111,0.00278296064723718,0.00860866943871182
"GO:0043933","macromolecular complex subunit organization",4.25542196626803e-36,8.84465814455665e-34,12.489573702846,1553,0.00309066527570937,0.0086746527498717
"GO:0071840","cellular component organization or biogenesis",7.39624945707674e-35,1.52037628949536e-32,12.2603143195135,4890,0.00197413075177398,0.00773131168881466
"GO:0051641","cellular localization",9.64158986066727e-35,1.96038673840915e-32,12.23881311575,2410,0.00257510190369629,0.00846499792043288
"GO:0005515","protein binding",1.16722859431198e-34,2.34776108443009e-32,12.2232888189185,8164,0.00160925394433475,0.00747692927614172
"GO:0044421","extracellular region part",1.05848734833228e-33,2.10638982318124e-31,12.0427806690287,3460,0.00222559837273536,0.00809965872404568
"GO:0016043","cellular component organization",5.35526062152082e-33,1.05447900195967e-30,11.9083265592147,4790,0.00195842059833333,0.0077575647560959
"GO:0005739","mitochondrion",1.94471233178141e-32,3.78935300815657e-30,11.8002956651565,1460,0.00304102631450047,0.00802322995317454
"GO:0019538","protein metabolic process",2.11816896881374e-32,4.08479059078658e-30,11.7931040951143,4510,0.00199242226961292,0.00790676424431295
"GO:0071822","protein complex subunit organization",3.73582307030379e-31,7.13084758705129e-29,11.5489630418216,1381,0.00305995222987113,0.00877087457020517
"GO:0031974","membrane-enclosed lumen",1.29313687598449e-30,2.44337559617838e-28,11.4417460840697,2812,0.00232978566822322,0.007390475697079
"GO:0044429","mitochondrial part",7.56603792910335e-30,1.41530305501807e-27,11.2874754025955,768,0.00378548550797935,0.00822566428699323
"GO:0044455","mitochondrial membrane part",1.15281716935755e-29,2.13510870990122e-27,11.2503926228219,142,0.00771555828914207,0.0101411152896443
"GO:0045333","cellular respiration",2.54456307495551e-29,4.6665291058939e-27,11.1803458654268,159,0.00729758591241227,0.0093003615855861
"GO:0044237","cellular metabolic process",7.21668198957552e-29,1.31063352715534e-26,11.0874563373276,9448,0.00145350389054298,0.0076011837926046
"GO:0070013","intracellular organelle lumen",1.31767797297106e-28,2.3700465540766e-26,11.0334571724868,2697,0.00231349299118793,0.00732900836677941
"GO:0043233","organelle lumen",2.67877149183679e-28,4.77229519298086e-26,10.9694871101829,2755,0.0022876252326204,0.00734549135661242
"GO:0071702","organic substance transport",3.35340989682857e-27,5.91781938962973e-25,10.7385797113755,2175,0.00245941614192449,0.0084510569121353
"GO:0044428","nuclear part",4.92060248090077e-27,8.60231682315232e-25,10.703116046383,2475,0.00234231903544501,0.00731477393646487
"GO:0070469","respiratory chain",5.3384449306717e-27,9.246384340106e-25,10.695563305541,70,0.0101481585696194,0.00816130268659445
"GO:0044260","cellular macromolecule metabolic process",1.42619375945777e-26,2.4475578407722e-24,10.6040861679999,7009,0.00160554045243824,0.00758033425738818
"GO:0005740","mitochondrial envelope",1.94156773162671e-26,3.30172418070993e-24,10.5752083245093,532,0.00417152359238533,0.0087260557605358
"GO:0010467","gene expression",2.28342210236638e-25,3.84808052674463e-23,10.3416337760432,4694,0.00183209762724103,0.00779245488157139
"GO:0005743","mitochondrial inner membrane",3.2430904167809e-25,5.41654011931282e-23,10.307962535476,342,0.00489994973029286,0.00922544811615741
"GO:0005746","mitochondrial respiratory chain",1.68094734733761e-24,2.78263726365464e-22,10.1485887982163,63,0.0101517756296012,0.0083544539809523
"GO:0031966","mitochondrial membrane",2.00342905519608e-24,3.28738104442963e-22,10.1314445121126,499,0.00413943300215762,0.00872855929246391
"GO:0022613","ribonucleoprotein complex biogenesis",3.62389023906453e-24,5.8946513749514e-22,10.0733351557732,278,0.00524384274980876,0.00895092469375378
"GO:0008152","metabolic process",1.68494017981593e-23,2.71711129341697e-21,9.92110982287493,10742,0.00132350623491691,0.00748071391233559
"GO:0031981","nuclear lumen",4.52101260584853e-23,7.22821041068398e-21,9.82212154181729,2099,0.00235559152724046,0.00730650031903805
"GO:0044248","cellular catabolic process",4.97188248781183e-23,7.88169778110238e-21,9.81253589708498,2410,0.00224297123005197,0.00834248713914346
"GO:0043234","protein complex",1.01788177211166e-22,1.60004171673284e-20,9.73998901953544,3652,0.00193614674384057,0.00741447557255735
"GO:0005634","nucleus",2.63794885897636e-22,4.11212261300099e-20,9.6427430135263,6062,0.00162143245283357,0.00737059433853972
"GO:0031224","intrinsic component of membrane",3.17272258755946e-22,4.90487179527994e-20,-9.62378158820701,5111,8.23137196563496e-05,0.00711515093800012
"GO:0031967","organelle envelope",3.47315803964598e-22,5.32531920406703e-20,9.61447445570089,857,0.00322029938476633,0.00824918472552096
"GO:0031975","envelope",5.0792748517489e-22,7.6947155067733e-20,9.57527611761464,861,0.00320518040056744,0.00824011952005111
"GO:0019866","organelle inner membrane",5.10074159542334e-22,7.6947155067733e-20,9.57484031218137,382,0.00441133872093431,0.00908263187693065
"GO:0009056","catabolic process",2.19122588138823e-21,3.27912570697986e-19,9.42303231523627,2779,0.00208581391402729,0.00827083581221531
"GO:0034655","nucleobase-containing compound catabolic process",3.19482876536765e-21,4.74305292737835e-19,9.38337083593619,1405,0.00263850130217302,0.008762986308131
"GO:0016021","integral component of membrane",6.40713165517903e-21,9.43714997966763e-19,-9.30974250225469,4995,9.60077455556058e-05,0.00714090394312149
"GO:0043170","macromolecule metabolic process",1.22823187143568e-20,1.7949457333653e-18,9.24036997453538,7867,0.0014551147259315,0.0074878035015681
"GO:1901575","organic substance catabolic process",1.53090679833996e-20,2.21993353253855e-18,9.21677105986865,2555,0.00211904362495229,0.0083240873467994
"GO:0071704","organic substance metabolic process",3.73947567872869e-20,5.3808178497153e-18,9.12048407899647,9934,0.00132969950909704,0.00750051175801384
"GO:0005747","mitochondrial respiratory chain complex I",4.16972112273132e-20,5.86457167833174e-18,9.10867469649021,40,0.011328184475616,0.0077776019602225
"GO:0030964","NADH dehydrogenase complex",4.16972112273132e-20,5.86457167833174e-18,9.10867469649021,40,0.011328184475616,0.0077776019602225
"GO:0045271","respiratory chain complex I",4.16972112273132e-20,5.86457167833174e-18,9.10867469649021,40,0.011328184475616,0.0077776019602225
"GO:0038023","signaling receptor activity",8.02396603760392e-20,1.12012170671208e-17,-9.03737483093765,1259,-0.000877532559562942,0.00529205041917621
"GO:0044238","primary metabolic process",8.86476541486868e-20,1.2283281618558e-17,9.02647211927097,9647,0.00134007770774287,0.00751372968452308
"GO:0005576","extracellular region",8.93449887958692e-20,1.22888776501142e-17,9.02561429625179,4149,0.00178400770158754,0.00788287643569708
"GO:0019439","aromatic compound catabolic process",9.35462675229326e-20,1.27728210239706e-17,9.02058207551716,1451,0.00254215915098799,0.00871828718343292
"GO:0046700","heterocycle catabolic process",1.4146213097595e-19,1.91752943625806e-17,8.97516622454481,1449,0.00253512177228338,0.00870747324660746
"GO:0005730","nucleolus",1.62469964448955e-19,2.1864483129368e-17,8.95991121903815,680,0.00334067328485785,0.00784393444928777
"GO:0005753","mitochondrial proton-transporting ATP synthase complex",1.64957661621885e-19,2.2040700130707e-17,8.95823548267171,20,0.015412691771447,0.0104313803784175
"GO:0004872","receptor activity",1.81386902297331e-19,2.40639957047792e-17,-8.94775845589028,1468,-0.00071907501014997,0.005743681004304
"GO:0044270","cellular nitrogen compound catabolic process",1.86990296012924e-19,2.46326794170265e-17,8.94439858493463,1449,0.00252951555344054,0.00872015923590405
"GO:0004888","transmembrane signaling receptor activity",4.07276213165421e-19,5.32762856186879e-17,-8.85801023108314,1159,-0.000921566306608834,0.00517857233343025
"GO:0045259","proton-transporting ATP synthase complex",4.13475667300222e-19,5.37116377258191e-17,8.8563255597174,21,0.014901399517313,0.0104337350417363
"GO:0031090","organelle membrane",8.55097498789525e-19,1.10313474567978e-16,8.77492388461072,2586,0.00205238435341584,0.00793672274624502
"GO:0044464","cell part",1.17775813014591e-18,1.50898243715818e-16,8.73882297966054,14361,0.00111228520103508,0.00736443109068463
"GO:0005623","cell",1.19140980219555e-18,1.51608923536531e-16,8.7375207378358,14362,0.00111220775463479,0.00736418053113217
"GO:0032268","regulation of cellular protein metabolic process",1.31907872515035e-18,1.66720855626097e-16,8.72600983818666,1511,0.00245367943195637,0.00792378978414183
"GO:1901361","organic cyclic compound catabolic process",2.72262710862994e-18,3.41808474456589e-16,8.64363452384604,1486,0.00245314573198619,0.00873337934178793
"GO:0042254","ribosome biogenesis",4.28822526028618e-18,5.34770278126088e-16,8.59160269450092,166,0.00571043388372894,0.0092786917851172
"GO:0042274","ribosomal small subunit biogenesis",4.45400490272387e-18,5.51765666955978e-16,8.5872442873361,23,0.0138715359540262,0.011510862222933
"GO:0003676","nucleic acid binding",1.32245422428847e-17,1.6274887315487e-15,8.46126577732785,3670,0.00179727097970548,0.00764876103195384
"GO:0006091","generation of precursor metabolites and energy",2.86652866044495e-17,3.50465915831916e-15,8.37058975869858,420,0.00382418365884314,0.00903426307683555
"GO:1901576","organic substance biosynthetic process",2.8981718846884e-17,3.52033787499878e-15,8.36929608829814,5304,0.0015919392905134,0.0078294731797478
"GO:1990204","oxidoreductase complex",6.55022533919322e-17,7.90506549644829e-15,8.27265852326369,80,0.00758911696482941,0.00830118672381114
"GO:0003954","NADH dehydrogenase activity",6.80872835278845e-17,8.06101725109246e-15,8.26804406365652,39,0.0104866253179075,0.00758923431286791
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",6.80872835278845e-17,8.06101725109246e-15,8.26804406365652,39,0.0104866253179075,0.00758923431286791
"GO:0050136","NADH dehydrogenase (quinone) activity",6.80872835278845e-17,8.06101725109246e-15,8.26804406365652,39,0.0104866253179075,0.00758923431286791
"GO:0009058","biosynthetic process",7.79458353529486e-17,9.17015595039155e-15,8.25190320311065,5379,0.00157530299009594,0.00782969452462645
"GO:0006139","nucleobase-containing compound metabolic process",8.38619207110057e-17,9.80450680512545e-15,8.24315801074104,5855,0.00153333779850926,0.00764899660066156
"GO:0015980","energy derivation by oxidation of organic compounds",1.8792829255283e-16,2.18346996303928e-14,8.14609767148495,335,0.0040945188282877,0.00914185562605014
"GO:0042773","ATP synthesis coupled electron transport",2.11022506943511e-16,2.42170982508301e-14,8.13206310070001,53,0.00898496174434307,0.00823618923618516
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",2.11022506943511e-16,2.42170982508301e-14,8.13206310070001,53,0.00898496174434307,0.00823618923618516
"GO:0031226","intrinsic component of plasma membrane",2.59373700277733e-16,2.95844173011907e-14,-8.10702371287476,1298,-0.000668506586450355,0.00708406885765008
"GO:0051234","establishment of localization",6.08260982578938e-16,6.89583632734643e-14,8.00276883128857,4030,0.00169892658628725,0.00816592650533826
"GO:0005887","integral component of plasma membrane",7.83739834454557e-16,8.83170924295599e-14,-7.97150940151697,1249,-0.000674680125934608,0.00711129588263613
"GO:0051246","regulation of protein metabolic process",9.68622428348853e-16,1.08497312243675e-13,7.94529800934353,1927,0.00213585308243314,0.00767730292431035
"GO:0046483","heterocycle metabolic process",1.04527873430334e-15,1.16386809546895e-13,7.93585166633501,6019,0.00149695853305242,0.00762890303608284
"GO:0006725","cellular aromatic compound metabolic process",1.08052805604526e-15,1.19599750392796e-13,7.93173475974313,6034,0.00149550377385222,0.00763195188589389
"GO:0005488","binding",1.16241254776949e-15,1.27906406579859e-13,7.92266007165924,12087,0.00118319489339327,0.00740291698892961
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",1.33978153304575e-15,1.46561130743589e-13,7.90498944350833,42,0.00973146615357919,0.0080237740749999
"GO:0034641","cellular nitrogen compound metabolic process",1.7636642352541e-15,1.91808739445717e-13,7.87067501037088,6234,0.00147609164773735,0.00763521837657369
"GO:0006810","transport",2.38028221189377e-15,2.57373173732282e-13,7.83308125047932,3943,0.00169318540025618,0.00820644196651396
"GO:0034645","cellular macromolecule biosynthetic process",3.55342038061333e-15,3.82013112872143e-13,7.78256546343773,4261,0.00164888228683213,0.00785746129296552
"GO:1901363","heterocyclic compound binding",5.40328535928761e-15,5.77564891033337e-13,7.72938697439871,5473,0.00152455430322088,0.00751028031637464
"GO:0071826","ribonucleoprotein complex subunit organization",6.10299430692279e-15,6.47979952307775e-13,7.71386887039823,142,0.00557302925737162,0.00918490465151342
"GO:0009059","macromolecule biosynthetic process",6.13131891149771e-15,6.47979952307775e-13,7.71327820141742,4396,0.00162687914478158,0.0078532014194655
"GO:1901360","organic cyclic compound metabolic process",6.81344928576989e-15,7.16024619885459e-13,7.69980972880887,6235,0.0014635085462527,0.00762109302730024
"GO:0051704","multi-organism process",7.46229400400892e-15,7.79830567815591e-13,7.68817731356325,2014,0.00206637870993607,0.0082910542235858
"GO:0034622","cellular macromolecular complex assembly",8.80341506787751e-15,9.14870456998426e-13,7.66699816161225,613,0.0031041098940267,0.00786111449517846
"GO:0022618","ribonucleoprotein complex assembly",9.84383954300781e-15,1.01734178172102e-12,7.65265160073967,135,0.0056556003571389,0.009286407212928
"GO:0000502","proteasome complex",1.12853389716458e-14,1.15990961980004e-12,7.63506485412512,66,0.00769967176777188,0.00788945243507728
"GO:0051437","positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",1.66126338700165e-14,1.69811983154387e-12,7.58509143435442,72,0.00736642948927015,0.00847739120141142
"GO:0072395","signal transduction involved in cell cycle checkpoint",1.67421318079781e-14,1.70205607391325e-12,7.58408459869836,68,0.00755380526827806,0.00799883200920951
"GO:0000028","ribosomal small subunit assembly",1.76782811936669e-14,1.78751312437153e-12,7.57702611848629,8,0.0203154951033291,0.0112152944772772
"GO:0007186","G-protein coupled receptor signaling pathway",2.28630009907524e-14,2.29932955125277e-12,-7.54357489764283,1143,-0.000662903605883229,0.00539911730920301
"GO:0051179","localization",2.36911678010973e-14,2.36987692453116e-12,7.53893546774112,4894,0.00156001203675218,0.00802062162749496
"GO:0051352","negative regulation of ligase activity",2.51451196841498e-14,2.48870163392437e-12,7.53116331649686,74,0.00723272098937364,0.00824857547582205
"GO:0051444","negative regulation of ubiquitin-protein transferase activity",2.51451196841498e-14,2.48870163392437e-12,7.53116331649686,74,0.00723272098937364,0.00824857547582205
"GO:0072401","signal transduction involved in DNA integrity checkpoint",2.81571004422829e-14,2.71498309728527e-12,7.51637888441129,67,0.00754362846914597,0.00805875784936102
"GO:0072413","signal transduction involved in mitotic cell cycle checkpoint",2.81571004422829e-14,2.71498309728527e-12,7.51637888441129,67,0.00754362846914597,0.00805875784936102
"GO:0072422","signal transduction involved in DNA damage checkpoint",2.81571004422829e-14,2.71498309728527e-12,7.51637888441129,67,0.00754362846914597,0.00805875784936102
"GO:1902402","signal transduction involved in mitotic DNA damage checkpoint",2.81571004422829e-14,2.71498309728527e-12,7.51637888441129,67,0.00754362846914597,0.00805875784936102
"GO:1902403","signal transduction involved in mitotic DNA integrity checkpoint",2.81571004422829e-14,2.71498309728527e-12,7.51637888441129,67,0.00754362846914597,0.00805875784936102
"GO:0016070","RNA metabolic process",2.9453865335962e-14,2.82545643576669e-12,7.51048716575656,4003,0.00165306597603422,0.00776126190186443
"GO:0006996","organelle organization",3.15809120643876e-14,3.01404357692059e-12,7.50135427261804,2585,0.00188531743372339,0.00744629318357501
"GO:0019843","rRNA binding",3.21625046452146e-14,3.05396858829129e-12,7.49896232866781,31,0.0106547786622515,0.0107755483270801
"GO:0044819","mitotic G1/S transition checkpoint",3.38857075774632e-14,3.20134366638397e-12,7.49211709766287,76,0.00711607310813761,0.00834782285113082
"GO:0097159","organic cyclic compound binding",3.43180983488823e-14,3.22590124479494e-12,7.49045320120133,5541,0.00149975529898089,0.00750417925133017
"GO:0031571","mitotic G1 DNA damage checkpoint",3.54036281127301e-14,3.31130133738364e-12,7.48636509037991,75,0.00715275715902581,0.00839786843521158
"GO:0031397","negative regulation of protein ubiquitination",3.57299466995927e-14,3.32519593513722e-12,7.48516024129489,111,0.0060334350134041,0.00787162437625428
